Node Number, X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ]
0,3.85E-05,-5.76E-09,1.58E-05,4.09E-01
1,-1.45E-03,-1.85E-03,1.66E-03,1.25E-01
2,-9.59E-04,-7.52E-03,5.48E-03,1.16E-01
3,7.14E-04,-6.66E-04,-5.39E-03,2.65E-01
4,-3.73E-04,-9.96E-04,-8.23E-03,1.92E-01
5,-6.84E-04,-4.93E-03,1.04E-02,1.08E-01
6,-1.94E-03,-2.12E-03,2.89E-04,3.16E-02
7,-2.33E-03,5.32E-03,1.39E-02,1.69E-01
8,-1.12E-03,8.57E-05,-2.94E-03,2.00E-01
9,2.29E-03,1.63E-03,2.84E-04,1.61E-01
10,-2.26E-03,-6.02E-03,2.54E-03,9.39E-02
11,-1.31E-03,-5.27E-03,1.77E-03,9.14E-02
12,-7.31E-04,6.38E-03,9.91E-03,1.47E-01
13,-1.74E-05,-1.06E-03,-6.81E-03,1.86E-01
14,3.03E-03,8.23E-04,1.34E-03,2.62E-02
15,-5.68E-04,9.15E-04,-1.35E-02,2.89E-01
16,-2.31E-03,4.25E-03,1.36E-02,8.25E-02
17,-1.54E-03,-4.00E-03,3.54E-03,1.91E-01
18,-2.19E-03,-2.92E-03,2.76E-03,2.32E-01
19,-2.17E-03,-4.21E-03,1.37E-02,1.15E-01
20,-4.84E-04,-4.15E-03,2.02E-03,5.63E-02
21,-2.37E-04,1.06E-03,-8.61E-03,2.00E-01
22,-1.05E-03,7.05E-05,-6.48E-03,2.34E-01
23,6.80E-04,8.82E-04,-1.35E-02,2.84E-01
24,-2.00E-03,-6.48E-03,1.09E-02,1.18E-01
25,-2.31E-03,5.44E-03,2.25E-03,7.49E-02
26,4.09E-04,2.62E-03,8.53E-04,1.32E-01
27,-1.67E-04,1.60E-03,-2.32E-03,1.33E-01
28,8.28E-04,-5.78E-04,-9.65E-03,2.70E-01
29,-1.60E-03,3.96E-03,1.33E-02,8.74E-02
30,1.73E-03,1.55E-03,1.60E-03,2.47E-01
31,-9.80E-04,5.62E-03,4.66E-03,1.79E-01
32,5.55E-04,-4.15E-04,-1.38E-02,3.05E-01
33,-1.32E-03,2.87E-03,3.11E-03,2.19E-01
34,-5.38E-04,-2.73E-03,4.62E-06,7.49E-02
35,-9.60E-04,3.28E-04,-9.10E-03,2.68E-01
36,-2.61E-03,-6.43E-03,7.48E-03,1.07E-01
37,-9.74E-04,2.87E-04,-1.05E-02,2.60E-01
38,-2.56E-03,-6.40E-03,4.73E-03,1.18E-01
39,-2.29E-03,-4.21E-03,1.64E-03,1.21E-01
40,1.08E-03,3.16E-04,-4.04E-03,1.40E-01
41,-2.52E-03,2.29E-04,1.43E-03,1.42E-01
42,1.38E-03,-7.84E-04,-2.39E-03,1.13E-01
43,-1.98E-03,1.58E-03,2.53E-03,1.97E-01
44,-2.28E-03,-5.73E-03,4.58E-03,1.37E-01
45,-7.64E-04,8.44E-04,-1.38E-02,2.87E-01
46,-6.06E-04,6.54E-03,7.78E-03,1.67E-01
47,-9.69E-04,2.73E-03,4.85E-04,9.82E-02
48,-1.04E-03,2.39E-04,-8.32E-03,2.14E-01
49,-1.23E-03,-4.92E-03,8.83E-03,8.81E-02
50,-1.18E-03,-2.85E-03,7.60E-04,1.05E-01
51,-2.53E-03,-5.06E-03,1.37E-02,9.13E-02
52,-5.61E-04,-4.55E-03,1.36E-02,1.21E-01
53,-4.14E-04,2.64E-03,2.20E-03,1.65E-01
54,-1.37E-03,4.95E-03,1.63E-03,5.56E-02
55,3.50E-04,1.93E-03,1.98E-03,2.68E-01
56,-2.50E-03,1.57E-03,8.07E-04,5.54E-02
57,9.65E-04,3.76E-04,-1.38E-02,2.99E-01
58,9.96E-04,2.25E-04,-8.07E-03,2.45E-01
59,9.06E-04,-2.69E-04,-1.37E-02,3.15E-01
60,-4.63E-04,5.03E-03,1.39E-02,1.27E-01
61,-1.20E-03,-4.30E-03,1.15E-02,8.43E-02
62,-2.51E-03,-6.16E-03,8.59E-03,1.19E-01
63,-9.93E-04,-2.85E-04,-5.49E-03,2.28E-01
64,-8.47E-04,4.90E-03,3.74E-03,1.75E-01
