Node Number, X [ m ], Y [ m ], Z [ m ], Wall Shear [ Pa ]
0,2.19E-03,9.25E-04,7.90E-04,1.57E+00
1,2.10E-03,1.10E-03,8.32E-04,1.63E+00
2,2.11E-03,9.46E-04,9.64E-04,1.51E+00
3,1.96E-03,-8.20E-04,1.31E-03,2.47E+00
4,1.91E-03,-1.00E-03,1.25E-03,2.67E+00
5,2.04E-03,-8.81E-04,1.15E-03,1.94E+00
6,2.40E-03,-5.99E-04,3.47E-04,2.18E+00
7,2.42E-03,-6.21E-04,1.28E-04,1.89E+00
8,2.45E-03,-4.43E-04,2.43E-04,2.40E+00
9,2.34E-03,-7.27E-04,4.78E-04,1.96E+00
10,2.35E-03,-7.84E-04,2.87E-04,1.71E+00
11,1.89E-03,7.72E-04,1.46E-03,2.93E+00
12,1.74E-03,8.44E-04,1.60E-03,4.20E+00
13,1.83E-03,6.43E-04,1.59E-03,3.64E+00
14,1.96E-03,8.68E-04,1.31E-03,2.29E+00
15,1.83E-03,9.60E-04,1.43E-03,3.39E+00
16,2.12E-03,-9.02E-04,9.73E-04,1.85E+00
17,2.10E-03,-1.05E-03,8.43E-04,1.79E+00
18,2.20E-03,-8.82E-04,7.98E-04,1.71E+00
19,2.00E-03,1.10E-03,1.04E-03,1.91E+00
20,2.03E-03,9.27E-04,1.14E-03,1.69E+00
21,2.19E-03,-1.01E-03,6.41E-04,1.62E+00
22,2.27E-03,-8.23E-04,6.31E-04,1.77E+00
23,2.28E-03,-9.16E-04,4.53E-04,1.65E+00
24,1.89E-03,-7.23E-04,1.47E-03,3.27E+00
25,1.83E-03,-9.11E-04,1.44E-03,3.61E+00
26,-2.22E-03,1.13E-03,-2.71E-04,2.49E+00
27,-2.30E-03,9.23E-04,-4.06E-04,1.67E+00
28,-2.31E-03,9.66E-04,-2.00E-04,2.57E+00
29,-2.12E-03,1.30E-03,-3.25E-04,2.23E+00
30,-2.17E-03,1.19E-03,-4.32E-04,1.53E+00
31,-2.44E-03,5.42E-04,1.75E-04,3.06E+00
32,-2.47E-03,3.72E-04,2.38E-04,3.33E+00
33,-2.42E-03,5.31E-04,3.71E-04,3.82E+00
34,-2.42E-03,6.49E-04,9.63E-06,3.09E+00
35,-2.47E-03,3.93E-04,8.82E-06,2.69E+00
36,2.28E-03,9.56E-04,4.44E-04,1.52E+00
37,2.19E-03,1.05E-03,6.31E-04,1.57E+00
38,2.27E-03,8.65E-04,6.23E-04,1.64E+00
39,-1.89E-03,1.61E-03,-3.86E-04,1.75E+00
40,-1.94E-03,1.50E-03,-5.47E-04,1.02E+00
41,-2.01E-03,1.46E-03,-3.64E-04,1.99E+00
42,-2.41E-03,4.01E-04,5.46E-04,4.34E+00
43,-2.37E-03,5.86E-04,5.56E-04,4.45E+00
44,-1.88E-03,1.09E-03,1.25E-03,7.77E+00
45,-1.80E-03,1.03E-03,1.42E-03,8.57E+00
46,-1.75E-03,1.21E-03,1.34E-03,9.26E+00
47,1.64E-03,-4.13E-04,1.84E-03,5.92E+00
48,1.69E-03,-6.09E-04,1.74E-03,5.11E+00
49,1.78E-03,-4.36E-04,1.70E-03,4.50E+00
50,2.46E-03,-4.21E-04,4.48E-05,2.13E+00
51,2.49E-03,-2.07E-04,-1.96E-05,2.17E+00
52,2.48E-03,-2.67E-04,1.71E-04,2.51E+00
53,1.64E-03,4.65E-04,1.84E-03,5.88E+00
54,1.61E-03,2.51E-04,1.90E-03,6.33E+00
55,1.75E-03,3.11E-04,1.77E-03,5.01E+00
56,-2.37E-03,8.01E-04,-1.09E-04,2.90E+00
57,-2.43E-03,5.71E-04,-1.68E-04,2.44E+00
58,1.60E-03,2.64E-05,1.92E-03,6.42E+00
59,1.73E-03,1.23E-04,1.80E-03,5.31E+00
60,-7.34E-04,2.06E-03,1.24E-03,8.82E+00
61,-5.39E-04,2.11E-03,1.26E-03,7.83E+00
62,-6.40E-04,2.17E-03,1.10E-03,8.76E+00
63,-4.47E-04,2.23E-03,1.08E-03,7.07E+00
64,-5.80E-04,2.26E-03,9.31E-04,6.95E+00
65,-1.15E-03,2.23E-03,-2.02E-04,5.09E+00
66,-1.15E-03,2.20E-03,-4.01E-04,4.56E+00
67,-1.30E-03,2.13E-03,-2.83E-04,5.05E+00
68,-2.34E-03,4.53E-04,7.78E-04,5.23E+00
69,-2.30E-03,6.69E-04,7.24E-04,5.29E+00
70,-1.32E-03,2.08E-03,-4.78E-04,3.92E+00
71,-1.46E-03,2.02E-03,-3.41E-04,4.13E+00
72,-2.22E-03,7.65E-04,8.77E-04,6.29E+00
73,-2.17E-03,6.77E-04,1.05E-03,6.59E+00
74,-2.12E-03,8.69E-04,1.02E-03,6.66E+00
75,-1.45E-03,1.45E-03,1.45E-03,9.65E+00
76,-1.32E-03,1.42E-03,1.60E-03,9.93E+00
77,-1.30E-03,1.57E-03,1.47E-03,1.07E+01
78,-1.75E-03,1.76E-03,-3.91E-04,2.32E+00
79,-1.80E-03,1.66E-03,-5.61E-04,1.35E+00
80,-3.99E-04,2.33E-03,8.68E-04,5.06E+00
81,-5.60E-04,2.34E-03,7.46E-04,5.23E+00
82,-8.54E-04,1.95E-03,1.34E-03,8.57E+00
83,-6.45E-04,1.98E-03,1.41E-03,7.91E+00
84,-9.98E-04,2.31E-03,-9.52E-05,6.29E+00
85,-9.75E-04,2.30E-03,-3.19E-04,4.70E+00
86,-8.60E-04,2.36E-03,3.62E-05,5.39E+00
