Node Number, X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ]
0,8.54E-04,-1.82E-12,-1.31E-02,0.00E+00
1,8.39E-04,7.28E-12,-1.27E-02,0.00E+00
2,6.64E-04,-7.28E-12,-1.28E-02,1.87E-01
3,8.06E-04,-1.82E-12,-1.31E-02,5.02E-02
4,5.89E-04,0.00E+00,-1.29E-02,2.82E-01
5,5.58E-04,0.00E+00,-1.29E-02,2.86E-01
6,3.93E-04,-3.64E-12,-1.29E-02,3.52E-01
7,5.40E-04,3.64E-12,-1.30E-02,3.12E-01
8,2.09E-04,-7.28E-12,-1.28E-02,4.03E-01
9,3.20E-04,3.64E-12,-1.28E-02,3.76E-01
10,2.57E-04,0.00E+00,-1.29E-02,3.91E-01
11,-9.17E-05,2.91E-11,-1.30E-02,3.91E-01
12,1.06E-04,-7.28E-12,-1.33E-02,3.84E-01
13,-2.49E-04,-3.64E-12,-1.33E-02,3.85E-01
14,-2.04E-04,0.00E+00,-1.33E-02,3.86E-01
15,1.62E-04,0.00E+00,-1.34E-02,3.87E-01
16,5.18E-04,1.09E-11,-1.14E-02,3.14E-01
17,5.14E-04,0.00E+00,-1.15E-02,3.16E-01
18,5.34E-04,1.27E-11,-1.15E-02,2.98E-01
19,2.58E-04,0.00E+00,-1.23E-02,4.10E-01
20,3.40E-04,1.82E-12,-1.24E-02,3.79E-01
21,1.30E-04,-2.18E-11,-1.26E-02,3.95E-01
22,3.83E-04,0.00E+00,-1.25E-02,3.30E-01
23,-1.80E-04,7.28E-12,-1.29E-02,4.06E-01
24,4.08E-05,0.00E+00,-1.29E-02,4.01E-01
25,4.59E-05,0.00E+00,-1.27E-02,4.10E-01
26,5.48E-04,-3.64E-12,-1.25E-02,2.81E-01
27,4.46E-04,0.00E+00,-1.14E-02,3.47E-01
28,4.60E-04,-1.82E-12,-1.15E-02,3.38E-01
29,1.44E-04,0.00E+00,-1.16E-02,4.33E-01
30,1.55E-04,0.00E+00,-1.13E-02,4.46E-01
31,1.84E-04,3.64E-12,-1.45E-02,3.16E-01
32,3.34E-08,0.00E+00,-1.46E-02,3.13E-01
33,8.76E-05,0.00E+00,-1.44E-02,3.23E-01
34,3.71E-04,0.00E+00,-1.45E-02,3.19E-01
35,2.84E-04,7.28E-12,-1.42E-02,3.31E-01
36,2.04E-04,0.00E+00,-1.38E-02,3.63E-01
37,-3.86E-05,0.00E+00,-1.36E-02,3.76E-01
38,1.80E-04,-3.64E-12,-1.39E-02,3.60E-01
39,-2.04E-04,0.00E+00,-1.42E-02,3.41E-01
40,-1.46E-04,-7.28E-12,-1.38E-02,3.67E-01
41,2.21E-04,1.09E-11,-1.39E-02,3.58E-01
42,2.03E-04,-1.82E-12,-1.39E-02,3.60E-01
43,1.98E-04,9.09E-12,-1.39E-02,3.61E-01
44,2.19E-04,1.09E-11,-1.38E-02,3.58E-01
45,1.13E-04,0.00E+00,-1.30E-02,3.95E-01
46,2.72E-04,0.00E+00,-1.29E-02,3.94E-01
47,2.20E-04,-7.28E-12,-1.32E-02,3.88E-01
48,4.12E-04,-7.28E-12,-1.31E-02,3.61E-01
49,-1.55E-04,3.64E-12,-1.42E-02,3.40E-01
50,-1.45E-04,-3.64E-12,-1.43E-02,3.29E-01
51,5.37E-04,7.28E-12,-1.11E-02,2.85E-01
52,5.86E-04,1.82E-12,-1.15E-02,2.53E-01
