Node Number, X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ]
0,8.15E-04,-8.08E-04,-1.70E-03,4.42E-02
1,-1.31E-03,-1.78E-04,-1.48E-03,4.33E-02
2,2.07E-05,1.19E-03,-1.65E-03,8.60E-03
3,-7.44E-05,-5.65E-04,-7.97E-03,2.49E-01
4,-6.79E-05,5.32E-04,-1.00E-02,3.13E-01
5,1.69E-03,9.47E-04,6.31E-05,8.05E-02
6,-1.72E-04,5.33E-03,8.70E-03,1.44E-01
7,-1.08E-03,-5.33E-03,1.17E-02,1.15E-01
8,-4.79E-04,-2.78E-04,-3.61E-03,2.73E-01
9,7.29E-04,-1.85E-03,1.31E-04,5.70E-02
10,-7.65E-04,-7.15E-03,4.27E-03,1.30E-01
11,4.14E-05,-5.65E-03,2.41E-03,1.42E-01
12,-1.33E-03,1.46E-03,5.75E-04,1.31E-01
13,-6.09E-04,5.87E-05,-2.24E-03,2.45E-01
14,-3.50E-05,-5.94E-04,-6.40E-03,2.33E-01
15,-1.00E-03,-4.61E-03,1.91E-03,1.49E-01
16,2.09E-03,3.05E-04,5.77E-04,8.05E-02
17,-1.27E-03,-1.59E-03,-2.34E-04,5.05E-02
18,-1.01E-03,-4.83E-03,1.25E-02,1.66E-01
19,-1.39E-03,-7.84E-04,1.15E-03,2.33E-01
20,3.85E-04,4.14E-04,-6.77E-03,2.75E-01
21,-1.13E-03,-5.77E-03,8.60E-03,1.16E-01
22,-5.36E-04,-1.86E-04,-1.31E-02,2.74E-01
23,-6.49E-04,1.35E-04,-1.11E-02,2.22E-01
24,2.40E-06,5.94E-04,-1.27E-02,2.91E-01
25,-9.66E-04,5.82E-03,6.51E-03,1.09E-01
26,2.46E-04,5.11E-04,-4.69E-03,2.84E-01
27,3.22E-04,-1.24E-03,-1.47E-03,5.71E-02
28,-5.70E-04,7.03E-03,5.24E-03,2.06E-01
29,-5.38E-05,-5.93E-03,2.97E-03,1.72E-01
30,2.22E-04,1.29E-03,1.52E-03,1.48E-01
31,-7.85E-04,4.25E-03,2.00E-03,1.83E-01
32,-1.05E-03,5.93E-03,2.24E-03,1.39E-01
33,-3.85E-04,-6.58E-03,7.65E-03,1.41E-01
34,4.16E-04,-1.92E-03,-3.24E-04,7.98E-02
35,-9.91E-04,-6.77E-03,5.64E-03,1.59E-01
36,5.54E-04,1.56E-04,-1.01E-02,2.82E-01
37,3.17E-04,4.99E-04,-1.08E-02,2.67E-01
38,-9.18E-04,6.45E-03,7.50E-03,1.48E-01
39,-9.09E-05,-5.68E-03,1.06E-02,1.62E-01
40,2.97E-04,5.27E-04,-7.39E-03,2.72E-01
41,-1.08E-03,6.00E-03,8.50E-03,1.18E-01
42,-9.41E-05,3.13E-03,4.94E-04,8.74E-02
43,5.96E-04,1.79E-04,-5.18E-03,2.07E-01
44,-8.76E-04,-1.57E-04,-1.84E-03,2.68E-02
45,-4.44E-04,5.44E-03,1.44E-03,1.12E-01
46,-4.90E-04,3.09E-04,-8.00E-03,2.87E-01
47,3.74E-04,-4.04E-04,-1.34E-02,2.78E-01
48,-6.92E-04,-2.56E-03,1.41E-03,2.11E-01
49,3.28E-04,-4.62E-04,-1.18E-02,2.65E-01
50,-1.57E-03,1.25E-03,1.35E-04,1.34E-01
51,-1.01E-03,-3.06E-03,6.44E-04,1.11E-01
52,2.38E-04,-4.90E-04,-8.91E-03,2.91E-01
53,-1.60E-03,-1.01E-03,4.62E-04,1.79E-01
54,5.76E-04,-1.35E-03,1.30E-03,1.91E-01
55,-1.02E-03,-2.55E-03,4.62E-04,1.10E-01
56,1.60E-03,2.57E-04,1.25E-03,2.29E-01
57,4.21E-04,1.90E-03,-4.40E-04,8.37E-02
58,-7.14E-04,5.38E-03,1.29E-02,1.78E-01
59,1.58E-03,-5.95E-04,9.91E-04,2.07E-01
60,1.18E-03,3.78E-05,-1.62E-03,3.47E-02
61,-5.72E-04,6.19E-03,9.39E-03,1.40E-01
62,-2.70E-05,5.02E-03,1.15E-02,1.69E-01
