Node Number, X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ]
0,6.55E-06,5.21E-05,-2.98E-03,5.08E-01
1,2.28E-05,-2.86E-05,-1.10E-02,4.28E-01
2,-1.70E-03,-4.49E-03,1.27E-02,2.15E-01
3,-2.10E-03,-4.35E-03,1.28E-02,1.39E-01
4,-1.70E-03,-4.08E-03,1.27E-02,1.33E-01
5,-1.24E-03,-4.29E-03,1.27E-02,1.92E-01
6,-2.07E-03,-4.28E-03,1.17E-02,8.86E-02
7,-2.37E-03,-4.24E-03,1.27E-02,6.47E-02
8,-2.46E-03,-4.48E-03,1.28E-02,8.81E-02
9,-1.31E-03,-3.94E-03,1.26E-02,9.01E-02
10,-2.51E-03,-5.07E-03,1.24E-02,9.21E-02
11,-7.71E-04,-4.54E-03,1.17E-02,1.35E-01
12,-2.51E-03,-5.08E-03,1.28E-02,9.16E-02
13,-8.96E-04,-4.15E-03,1.27E-02,1.16E-01
14,-7.63E-04,-4.80E-03,1.28E-02,1.94E-01
15,-6.48E-04,-4.39E-03,1.27E-02,1.02E-01
16,-2.08E-03,-5.46E-03,1.29E-02,1.71E-01
17,-2.48E-03,-5.42E-03,1.17E-02,1.02E-01
18,-1.22E-03,-6.09E-03,1.21E-02,9.97E-02
19,-5.52E-04,-5.51E-03,1.17E-02,1.15E-01
20,-2.40E-03,-5.57E-03,1.29E-02,7.07E-02
21,-2.15E-03,-5.80E-03,1.22E-02,1.15E-01
22,-4.11E-04,-4.93E-03,1.29E-02,8.48E-02
23,-7.84E-04,-5.64E-03,1.26E-02,1.28E-01
24,-2.15E-03,-5.77E-03,1.30E-02,7.93E-02
25,-2.07E-03,-4.47E-03,1.10E-02,1.00E-01
26,-9.94E-04,-4.41E-03,1.08E-02,8.76E-02
27,-1.57E-03,-5.93E-03,1.27E-02,1.41E-01
28,-1.26E-03,-6.16E-03,1.14E-02,1.43E-01
29,-1.64E-03,-4.35E-03,1.08E-02,1.01E-01
30,-6.43E-04,-5.40E-03,1.30E-02,1.36E-01
31,-1.84E-03,-5.93E-03,1.30E-02,9.77E-02
32,-1.16E-03,-5.74E-03,1.29E-02,1.71E-01
33,-7.61E-04,-5.67E-03,1.30E-02,1.09E-01
34,-1.53E-03,-5.91E-03,1.30E-02,1.22E-01
35,-4.97E-04,-5.07E-03,1.09E-02,1.07E-01
36,-2.51E-03,-5.41E-03,1.06E-02,9.22E-02
37,-2.09E-03,-6.16E-03,1.09E-02,1.17E-01
38,-6.47E-04,-5.81E-03,1.06E-02,1.52E-01
39,-1.95E-03,-4.53E-03,1.00E-02,7.40E-02
40,-2.32E-03,-4.95E-03,1.01E-02,1.01E-01
41,-1.27E-03,-6.37E-03,1.03E-02,1.52E-01
42,-7.75E-04,-4.85E-03,9.78E-03,1.13E-01
43,-5.71E-04,-5.73E-03,9.82E-03,1.56E-01
44,-2.31E-03,-4.95E-03,9.60E-03,7.89E-02
45,-1.29E-03,-4.72E-03,9.02E-03,1.00E-01
46,-1.79E-03,-6.49E-03,9.65E-03,1.57E-01
47,-7.15E-04,-6.21E-03,9.36E-03,1.50E-01
48,-2.22E-03,-5.05E-03,8.79E-03,8.34E-02
49,-2.41E-03,-6.03E-03,9.12E-03,1.37E-01
50,-5.73E-04,-5.64E-03,8.40E-03,1.30E-01
51,-1.46E-03,-4.89E-03,8.22E-03,1.08E-01
52,-2.27E-03,-6.48E-03,8.63E-03,1.25E-01
53,-8.02E-04,-6.59E-03,8.32E-03,1.44E-01
54,-2.23E-03,-5.24E-03,7.79E-03,7.76E-02
55,-1.80E-03,-6.82E-03,8.11E-03,1.88E-01
56,-8.34E-04,-5.26E-03,7.67E-03,1.13E-01
57,-1.08E-03,-6.79E-03,8.09E-03,1.71E-01
58,-2.48E-03,-6.32E-03,7.81E-03,1.20E-01
59,-5.60E-04,-6.21E-03,7.46E-03,1.37E-01
60,-1.07E-03,-5.19E-03,7.07E-03,8.77E-02
61,-1.31E-03,-6.99E-03,7.60E-03,1.67E-01
62,-2.47E-03,-5.73E-03,7.12E-03,7.74E-02
63,-2.51E-03,-6.36E-03,7.18E-03,1.31E-01
64,-2.16E-03,-6.85E-03,7.17E-03,1.86E-01
65,-2.11E-03,-5.50E-03,6.49E-03,7.81E-02
66,-6.04E-04,-5.74E-03,6.69E-03,1.12E-01
67,-5.65E-04,-6.60E-03,6.80E-03,1.24E-01
68,-1.89E-03,-7.12E-03,6.59E-03,2.07E-01
69,-5.73E-04,-5.87E-03,6.28E-03,1.05E-01
70,-1.48E-03,-5.30E-03,5.86E-03,4.87E-02
71,-2.44E-03,-6.17E-03,5.72E-03,1.23E-01
72,-1.17E-03,-7.20E-03,6.46E-03,1.69E-01
73,-1.99E-03,-7.26E-03,5.78E-03,1.85E-01
74,-5.48E-04,-6.19E-03,5.61E-03,1.25E-01
75,-1.22E-03,-5.50E-03,5.25E-03,6.67E-02
76,-6.25E-04,-6.03E-03,4.93E-03,1.17E-01
77,-1.03E-03,-7.33E-03,5.39E-03,1.52E-01
78,-2.49E-03,-6.70E-03,4.99E-03,1.68E-01
79,-2.07E-03,-5.75E-03,4.61E-03,7.98E-02
80,-2.53E-03,-6.42E-03,4.75E-03,1.29E-01
81,-1.13E-03,-5.62E-03,4.36E-03,8.73E-02
82,-5.90E-04,-7.01E-03,4.68E-03,1.12E-01
83,-2.09E-03,-7.35E-03,4.75E-03,1.61E-01
84,-2.07E-03,-5.72E-03,4.03E-03,1.10E-01
85,-2.47E-03,-6.31E-03,4.01E-03,1.53E-01
86,-5.29E-04,-6.55E-03,4.01E-03,1.32E-01
87,-1.82E-03,-7.54E-03,3.91E-03,9.33E-02
88,-9.78E-04,-5.63E-03,3.68E-03,1.42E-01
89,-5.69E-04,-6.89E-03,3.33E-03,8.95E-02
90,-2.50E-03,-6.39E-03,3.35E-03,1.57E-01
91,-2.05E-03,-7.32E-03,3.03E-03,7.15E-02
92,-1.91E-03,-5.37E-03,3.43E-03,1.54E-01
93,-1.03E-03,-5.30E-03,3.15E-03,1.61E-01
94,-1.74E-03,-7.27E-03,2.87E-03,1.04E-01
95,-5.02E-04,-6.09E-03,2.98E-03,1.14E-01
96,-2.21E-03,-5.38E-03,2.95E-03,2.38E-01
97,-2.50E-03,-6.28E-03,2.49E-03,1.24E-01
98,-1.58E-03,-6.96E-03,2.14E-03,6.32E-02
99,-6.52E-04,-6.21E-03,2.08E-03,9.25E-02
100,-5.45E-04,-5.26E-03,2.40E-03,9.03E-02
101,-2.28E-03,-6.11E-03,1.83E-03,1.14E-01
102,-1.64E-03,-4.84E-03,3.00E-03,1.92E-01
103,-1.09E-03,-6.05E-03,1.38E-03,6.16E-02
104,-8.45E-04,-4.59E-03,2.54E-03,1.29E-01
105,-2.34E-03,-4.83E-03,2.35E-03,2.20E-01
106,-5.95E-04,-5.14E-03,1.45E-03,1.05E-01
107,-1.04E-03,-5.19E-03,8.75E-04,8.75E-02
108,-4.49E-04,-4.36E-03,1.52E-03,5.18E-02
109,-1.99E-03,-4.17E-03,2.47E-03,1.91E-01
110,-1.13E-03,-3.98E-03,2.45E-03,1.67E-01
111,-2.54E-03,-4.53E-03,1.61E-03,1.59E-01
112,-6.93E-04,-4.41E-03,7.96E-04,8.30E-02
113,-2.09E-03,-4.60E-03,7.55E-04,1.20E-01
114,-1.31E-03,-4.62E-03,4.60E-04,7.83E-02
115,-2.40E-03,-3.83E-03,1.80E-03,1.84E-01
116,-6.71E-04,-3.59E-03,1.89E-03,1.48E-01
117,-1.21E-03,-3.33E-03,2.21E-03,1.92E-01
118,-2.23E-03,-3.82E-03,5.58E-04,1.45E-01
119,-2.24E-03,-3.26E-03,1.82E-03,1.76E-01
120,-5.40E-04,-3.71E-03,7.72E-04,3.73E-02
121,-4.68E-04,-3.32E-03,1.49E-03,1.01E-01
122,-2.46E-03,-3.39E-03,1.47E-03,1.81E-01
123,-1.57E-03,-3.87E-03,1.74E-04,1.16E-01
124,-6.89E-04,-3.00E-03,1.73E-03,1.96E-01
125,-1.68E-03,-2.71E-03,2.02E-03,1.45E-01
126,-4.88E-04,-3.20E-03,6.42E-04,1.21E-01
127,-2.31E-03,-2.64E-03,1.52E-03,1.70E-01
128,-2.36E-03,-3.13E-03,3.83E-04,1.53E-01
129,-2.00E-04,-2.85E-03,7.42E-04,1.29E-01
130,-1.17E-03,-3.19E-03,-5.06E-05,8.77E-02
131,3.83E-04,-2.76E-03,5.48E-04,3.75E-02
132,-9.89E-04,-2.47E-03,1.83E-03,2.39E-01
133,3.74E-04,-2.49E-03,1.35E-03,2.01E-01
134,-9.40E-04,-2.07E-03,1.89E-03,2.11E-01
135,-5.91E-04,-1.64E-03,2.22E-03,1.20E-01
136,1.99E-04,-2.83E-03,1.13E-05,1.25E-01
137,-3.35E-04,-2.75E-03,-5.80E-04,1.52E-01
138,-1.59E-03,-2.04E-03,1.82E-03,2.54E-01
139,-2.49E-03,-2.34E-03,4.98E-04,1.77E-01
140,5.35E-04,-2.62E-03,8.54E-04,1.07E-01
141,-1.08E-04,-2.00E-03,2.03E-03,1.72E-01
142,-8.98E-04,-2.44E-03,-1.03E-03,1.36E-01
143,-3.23E-04,-1.75E-03,2.19E-03,1.42E-01
144,-2.09E-03,-2.60E-03,-1.12E-04,1.03E-01
145,7.92E-05,-2.79E-03,-4.20E-04,1.32E-01
146,-6.45E-04,-1.92E-03,2.11E-03,1.41E-01
147,-3.80E-05,-2.18E-03,1.88E-03,1.84E-01
148,-2.16E-03,-7.46E-04,1.60E-03,2.79E-01
149,-7.68E-04,-2.69E-03,-7.76E-04,1.39E-01
150,1.96E-03,-1.65E-03,1.16E-03,2.02E-01
