Node Number, X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ], Wall Shear [ Pa ]
0,6.27E-04,0.00E+00,-1.37E-02,2.82E-01, null
1,5.60E-04,1.82E-12,-1.37E-02,3.04E-01, null
2,6.04E-04,0.00E+00,-1.37E-02,2.89E-01, null
3,4.14E-04,-1.09E-11,-1.43E-02,3.26E-01, null
4,3.74E-04,1.82E-12,-1.43E-02,3.32E-01, null
5,3.93E-04,1.82E-12,-1.44E-02,3.29E-01, null
6,-3.49E-04,0.00E+00,-1.33E-02,3.86E-01, null
7,-1.06E-05,7.28E-12,-1.31E-02,4.03E-01, null
8,-3.05E-05,-7.28E-12,-1.35E-02,3.83E-01, null
9,3.07E-04,-1.82E-12,-1.44E-02,3.22E-01, null
10,1.94E-05,-4.55E-13,-1.44E-02,3.20E-01, null
11,1.12E-06,-4.55E-13,-1.43E-02,3.22E-01, null
12,-3.61E-04,9.09E-12,-1.37E-02,3.68E-01, null
13,-6.26E-06,0.00E+00,-1.39E-02,3.54E-01, null
14,-3.65E-05,-7.28E-12,-1.35E-02,3.80E-01, null
15,6.56E-04,0.00E+00,-1.31E-02,2.73E-01, null
16,5.07E-04,0.00E+00,-1.33E-02,3.22E-01, null
17,6.21E-04,0.00E+00,-1.31E-02,2.84E-01, null
18,3.29E-04,0.00E+00,-1.33E-02,3.82E-01, null
19,6.68E-04,7.28E-12,-1.42E-02,2.79E-01, null
20,6.48E-04,-3.64E-12,-1.38E-02,2.80E-01, null
21,4.33E-04,-5.46E-12,-1.40E-02,3.44E-01, null
22,5.02E-04,-1.82E-12,-1.39E-02,3.22E-01, null
23,-3.65E-04,3.64E-12,-1.31E-02,3.91E-01, null
24,-6.28E-05,0.00E+00,-1.30E-02,4.04E-01, null
25,-3.06E-04,0.00E+00,-1.28E-02,4.00E-01, null
26,6.90E-04,-1.82E-12,-1.45E-02,2.86E-01, null
27,6.72E-04,-7.28E-12,-1.42E-02,2.78E-01, null
28,5.45E-04,0.00E+00,-1.45E-02,3.09E-01, null
29,2.30E-04,-3.64E-12,-1.46E-02,3.07E-01, null
30,1.83E-04,0.00E+00,-1.46E-02,3.08E-01, null
31,6.62E-04,3.64E-12,-1.37E-02,2.49E-01, null
32,8.07E-04,0.00E+00,-1.38E-02,1.10E-01, null
33,6.35E-04,0.00E+00,-1.37E-02,2.79E-01, null
34,4.16E-04,-5.46E-12,-1.40E-02,3.45E-01, null
35,3.83E-04,1.82E-12,-1.40E-02,3.54E-01, null
36,3.86E-04,-5.46E-12,-1.40E-02,3.52E-01, null
37,2.22E-05,-3.64E-12,-1.35E-02,3.81E-01, null
38,6.77E-04,-1.27E-11,-1.31E-02,2.51E-01, null
39,7.02E-04,0.00E+00,-1.30E-02,2.26E-01, null
40,6.54E-04,-1.46E-11,-1.31E-02,2.72E-01, null
41,6.21E-04,0.00E+00,-1.30E-02,2.86E-01, null
42,6.64E-04,-5.46E-12,-1.46E-02,2.91E-01, null
43,6.92E-04,0.00E+00,-1.46E-02,2.89E-01, null
44,6.80E-04,0.00E+00,-1.46E-02,2.91E-01, null
45,9.16E-04,0.00E+00,-1.33E-02,0.00E+00,7.12E+00
46,9.06E-04,0.00E+00,-1.35E-02,0.00E+00,7.75E+00
47,8.12E-04,7.28E-12,-1.35E-02,9.14E-02, null
48,6.87E-04,0.00E+00,-1.37E-02,2.27E-01, null
