Node Number, X [ m ], Y [ m ], Z [ m ], Wall Shear [ Pa ]
0,-4.40E-04,1.50E-03,-1.66E-03,7.92E-01
1,-5.10E-04,1.34E-03,-1.77E-03,8.92E-01
2,-6.36E-04,1.43E-03,-1.65E-03,1.03E+00
3,-8.89E-04,-1.81E-03,-1.01E-03,1.80E+00
4,-7.09E-04,-1.91E-03,-9.71E-04,1.88E+00
5,-8.51E-04,-1.91E-03,-8.44E-04,2.12E+00
6,-9.84E-04,1.27E-03,-1.61E-03,1.25E+00
7,-8.15E-04,1.35E-03,-1.64E-03,1.17E+00
8,-8.81E-04,1.17E-03,-1.74E-03,1.17E+00
9,-8.32E-04,-1.36E-03,-1.60E-03,9.24E-01
10,-6.91E-04,-1.26E-03,-1.74E-03,6.84E-01
11,-6.22E-04,-1.42E-03,-1.64E-03,6.28E-01
12,2.45E-04,8.37E-04,-2.10E-03,3.26E+00
13,4.01E-04,9.44E-04,-2.03E-03,7.27E-01
14,4.28E-04,7.57E-04,-2.10E-03,3.32E+00
15,-1.83E-03,9.52E-04,9.62E-04,4.67E+00
16,-1.78E-03,1.12E-03,8.68E-04,4.48E+00
17,-1.88E-03,1.03E-03,7.48E-04,3.97E+00
18,2.05E-04,1.26E-03,1.88E-03,8.04E+00
19,3.10E-04,1.37E-03,1.79E-03,8.28E+00
20,1.18E-04,1.40E-03,1.79E-03,8.02E+00
21,6.53E-04,-1.49E-03,-1.56E-03,1.01E+00
22,4.82E-04,-1.46E-03,-1.65E-03,9.58E-01
23,6.20E-04,-1.32E-03,-1.72E-03,1.03E+00
24,-1.29E-03,-9.31E-04,1.61E-03,7.51E+00
25,-1.33E-03,-7.45E-04,1.67E-03,7.86E+00
26,-1.40E-03,-8.93E-04,1.53E-03,7.09E+00
27,6.85E-04,6.02E-04,2.08E-03,9.57E+00
28,5.30E-04,5.55E-04,2.14E-03,8.89E+00
29,6.27E-04,4.05E-04,2.14E-03,9.19E+00
30,-2.09E-03,8.69E-04,-2.43E-04,1.70E+00
31,-2.13E-03,7.25E-04,-3.39E-04,1.57E+00
32,-2.15E-03,7.25E-04,-1.55E-04,1.81E+00
33,7.66E-04,-1.41E-03,-1.59E-03,1.02E+00
