Node Number, X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ], Wall Shear [ Pa ]
0,3.69E-04,-4.55E-13,-1.24E-02,4.09E-01, null
1,1.60E-04,7.28E-12,-1.26E-02,4.17E-01, null
2,4.13E-04,0.00E+00,-1.27E-02,3.94E-01, null
3,3.96E-04,0.00E+00,-1.24E-02,4.06E-01, null
4,1.64E-04,0.00E+00,-1.28E-02,4.05E-01, null
5,-4.30E-05,9.09E-13,-1.17E-02,4.53E-01, null
6,-4.17E-05,-1.27E-11,-1.17E-02,4.53E-01, null
7,-2.28E-05,0.00E+00,-1.16E-02,4.55E-01, null
8,-1.44E-04,0.00E+00,-1.12E-02,4.57E-01, null
9,-1.51E-04,-1.82E-12,-1.12E-02,4.57E-01, null
10,-1.10E-04,-1.82E-12,-1.13E-02,4.59E-01, null
11,-2.01E-05,-1.18E-11,-1.17E-02,4.53E-01, null
12,3.51E-04,-3.64E-12,-1.15E-02,4.07E-01, null
13,5.39E-05,-9.09E-13,-1.16E-02,4.45E-01, null
14,9.31E-05,-7.28E-12,-1.14E-02,4.44E-01, null
15,3.90E-04,-1.32E-11,-1.24E-02,4.07E-01, null
16,3.63E-04,0.00E+00,-1.24E-02,4.10E-01, null
17,3.81E-04,3.64E-12,-1.17E-02,4.05E-01, null
18,3.20E-04,7.28E-12,-1.19E-02,4.08E-01, null
19,-7.21E-06,-4.55E-13,-1.43E-02,3.28E-01, null
20,3.79E-04,-7.28E-12,-1.40E-02,3.49E-01, null
21,4.46E-05,-1.82E-12,-1.38E-02,3.64E-01, null
22,-1.42E-05,0.00E+00,-1.43E-02,3.28E-01, null
23,1.85E-05,-1.82E-12,-1.38E-02,3.65E-01, null
24,-1.09E-04,-7.28E-12,-1.29E-02,4.07E-01, null
25,3.32E-06,7.28E-12,-1.29E-02,4.08E-01, null
26,2.47E-05,0.00E+00,-1.32E-02,4.00E-01, null
27,3.24E-04,-7.28E-12,-1.31E-02,3.90E-01, null
28,2.01E-04,7.28E-12,-1.30E-02,3.99E-01, null
29,9.37E-05,0.00E+00,-1.32E-02,3.97E-01, null
30,-4.27E-05,7.28E-12,-1.28E-02,4.10E-01, null
