Node Number, X [ m ], Y [ m ], Z [ m ], Wall Shear [ Pa ]
0,3.46E-03,-5.66E-05,1.83E-03,1.07E-01
1,3.54E-03,-1.62E-04,1.66E-03,1.05E-01
2,3.57E-03,3.31E-05,1.67E-03,1.04E-01
3,2.20E-03,-1.24E-03,1.28E-03,9.86E-01
4,2.29E-03,-1.25E-03,1.11E-03,9.56E-01
5,2.45E-03,-1.16E-03,1.18E-03,7.07E-01
6,2.38E-03,-1.12E-03,1.40E-03,5.64E-01
7,2.11E-03,-1.19E-03,1.46E-03,1.16E+00
8,2.24E-03,-1.07E-03,1.60E-03,6.72E-01
9,2.03E-03,-1.12E-03,1.62E-03,1.45E+00
10,2.17E-03,-9.84E-04,1.75E-03,7.74E-01
11,1.96E-03,-1.01E-03,1.78E-03,1.79E+00
12,2.10E-03,-8.80E-04,1.88E-03,9.30E-01
13,1.89E-03,-8.86E-04,1.91E-03,2.15E+00
14,2.04E-03,-7.46E-04,2.00E-03,1.11E+00
15,1.83E-03,-7.36E-04,2.03E-03,2.47E+00
16,1.99E-03,-5.95E-04,2.10E-03,1.22E+00
17,1.79E-03,-5.67E-04,2.13E-03,2.85E+00
18,1.95E-03,-4.32E-04,2.17E-03,1.41E+00
19,1.75E-03,-3.84E-04,2.20E-03,3.06E+00
20,1.93E-03,-2.54E-04,2.22E-03,1.53E+00
21,1.73E-03,-1.91E-04,2.24E-03,3.17E+00
22,1.92E-03,-6.93E-05,2.25E-03,1.55E+00
23,1.72E-03,7.74E-06,2.25E-03,3.37E+00
24,1.90E-03,1.02E-04,2.25E-03,1.68E+00
25,1.73E-03,2.06E-04,2.24E-03,3.34E+00
26,1.91E-03,2.86E-04,2.22E-03,1.63E+00
27,1.75E-03,4.00E-04,2.20E-03,3.16E+00
28,1.96E-03,4.75E-04,2.17E-03,1.46E+00
29,1.78E-03,5.85E-04,2.13E-03,2.87E+00
30,1.97E-03,6.32E-04,2.10E-03,1.33E+00
31,1.83E-03,7.55E-04,2.04E-03,2.47E+00
32,2.03E-03,7.87E-04,2.00E-03,1.15E+00
33,1.88E-03,9.08E-04,1.93E-03,2.14E+00
34,2.10E-03,9.20E-04,1.88E-03,1.08E+00
35,1.95E-03,1.04E-03,1.79E-03,1.80E+00
36,2.16E-03,1.03E-03,1.74E-03,8.83E-01
37,2.02E-03,1.14E-03,1.64E-03,1.48E+00
38,2.23E-03,1.12E-03,1.59E-03,6.98E-01
39,2.10E-03,1.22E-03,1.47E-03,1.22E+00
40,2.32E-03,1.17E-03,1.43E-03,6.38E-01
41,2.19E-03,1.27E-03,1.30E-03,1.06E+00
42,2.38E-03,1.21E-03,1.28E-03,6.61E-01
43,2.27E-03,1.29E-03,1.12E-03,9.86E-01
44,2.37E-03,-1.23E-03,9.27E-04,9.26E-01
45,2.61E-03,-1.07E-03,1.25E-03,4.77E-01
46,2.46E-03,1.21E-03,1.11E-03,7.16E-01
47,2.36E-03,1.27E-03,9.44E-04,9.65E-01
48,2.54E-03,1.18E-03,9.41E-04,7.95E-01
49,2.45E-03,1.23E-03,7.69E-04,1.01E+00
50,2.62E-03,1.13E-03,7.81E-04,8.75E-01
51,3.40E-03,-2.44E-04,1.80E-03,1.13E-01
52,2.53E-03,1.15E-03,6.04E-04,1.10E+00
53,3.44E-03,1.44E-04,1.84E-03,1.08E-01
54,3.62E-03,-2.00E-05,1.46E-03,1.13E-01
55,2.70E-03,1.04E-03,6.29E-04,9.91E-01
56,2.60E-03,1.05E-03,4.50E-04,1.17E+00
57,2.76E-03,9.36E-04,4.91E-04,1.07E+00
58,2.67E-03,9.22E-04,3.13E-04,1.27E+00
59,2.82E-03,8.04E-04,3.71E-04,1.14E+00
60,2.73E-03,7.72E-04,1.96E-04,1.38E+00
61,2.87E-03,6.53E-04,2.70E-04,1.23E+00
62,2.77E-03,6.03E-04,1.01E-04,1.45E+00
63,2.91E-03,4.86E-04,1.92E-04,1.28E+00
64,2.81E-03,4.20E-04,3.15E-05,1.54E+00
65,2.44E-03,-1.02E-03,1.57E-03,3.76E-01
66,2.94E-03,3.08E-04,1.38E-04,1.32E+00
67,2.38E-03,-9.44E-04,1.72E-03,3.42E-01
68,2.83E-03,2.27E-04,-1.16E-05,1.67E+00
69,2.95E-03,1.22E-04,1.11E-04,1.36E+00
70,2.52E-03,-1.16E-03,9.58E-04,8.04E-01
71,2.31E-03,-8.38E-04,1.87E-03,3.27E-01
