Node Number, X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ]
0,8.54E-04,0.00E+00,-1.34E-02,1.39E-01
1,1.01E-03,-2.27E-13,-1.33E-02,1.00E-01
2,8.52E-04,-1.82E-12,-1.34E-02,1.39E-01
3,7.10E-04,0.00E+00,-1.38E-02,1.56E-01
4,7.09E-04,1.25E-11,-1.38E-02,1.56E-01
5,7.10E-04,-2.84E-14,-1.38E-02,1.56E-01
6,9.89E-04,0.00E+00,-1.43E-02,1.23E-01
7,9.88E-04,0.00E+00,-1.43E-02,1.24E-01
8,1.02E-03,0.00E+00,-1.43E-02,1.10E-01
9,1.28E-03,0.00E+00,-1.35E-02,0.00E+00
10,1.28E-03,-5.46E-12,-1.35E-02,0.00E+00
11,1.21E-03,-1.82E-12,-1.35E-02,3.00E-02
12,9.35E-04,0.00E+00,-1.30E-02,1.22E-01
13,8.01E-04,0.00E+00,-1.28E-02,1.41E-01
14,8.97E-04,0.00E+00,-1.30E-02,1.30E-01
15,7.43E-04,0.00E+00,-1.28E-02,1.52E-01
16,1.01E-03,1.82E-12,-1.43E-02,1.15E-01
17,3.54E-04,0.00E+00,-1.45E-02,1.34E-01
18,5.37E-04,0.00E+00,-1.42E-02,1.46E-01
19,2.91E-04,0.00E+00,-1.43E-02,1.43E-01
20,1.18E-03,4.55E-13,-1.40E-02,4.15E-02
21,8.36E-04,0.00E+00,-1.46E-02,1.35E-01
22,6.49E-04,7.28E-12,-1.46E-02,1.35E-01
23,7.08E-04,7.28E-12,-1.47E-02,1.32E-01
24,1.24E-03,-9.09E-13,-1.38E-02,1.77E-02
25,1.08E-03,-1.09E-11,-1.36E-02,7.77E-02
26,5.23E-04,3.64E-12,-1.49E-02,1.28E-01
27,4.84E-04,0.00E+00,-1.49E-02,1.28E-01
28,5.46E-04,1.82E-12,-1.48E-02,1.29E-01
29,1.28E-03,1.82E-12,-1.38E-02,0.00E+00
30,1.28E-03,-9.09E-13,-1.39E-02,0.00E+00
31,1.27E-03,0.00E+00,-1.38E-02,5.54E-03
32,1.28E-03,0.00E+00,-1.34E-02,0.00E+00
33,1.27E-03,0.00E+00,-1.32E-02,0.00E+00
34,1.07E-03,2.27E-13,-1.33E-02,8.29E-02
35,1.28E-03,2.73E-12,-1.45E-02,0.00E+00
36,1.28E-03,0.00E+00,-1.45E-02,0.00E+00
37,8.71E-04,9.09E-13,-1.33E-02,1.36E-01
38,1.06E-03,2.27E-13,-1.33E-02,8.59E-02
39,9.49E-04,3.64E-12,-1.30E-02,1.18E-01
40,1.06E-03,0.00E+00,-1.31E-02,8.17E-02
41,1.26E-03,7.28E-12,-1.29E-02,7.49E-03
42,1.11E-03,9.09E-13,-1.30E-02,6.12E-02
43,1.06E-03,2.27E-13,-1.34E-02,8.63E-02
44,1.06E-03,-2.27E-13,-1.33E-02,8.61E-02
45,1.06E-03,-2.27E-13,-1.33E-02,8.49E-02
46,8.95E-04,0.00E+00,-1.47E-02,1.32E-01
47,8.17E-04,0.00E+00,-1.49E-02,1.28E-01
48,1.05E-03,-1.09E-11,-1.36E-02,8.80E-02
49,1.04E-03,-3.64E-12,-1.37E-02,9.30E-02
50,4.22E-04,0.00E+00,-1.46E-02,1.33E-01
51,6.50E-04,0.00E+00,-1.44E-02,1.40E-01
52,1.28E-03,0.00E+00,-1.38E-02,0.00E+00
53,7.10E-04,0.00E+00,-1.38E-02,1.56E-01
54,9.74E-04,0.00E+00,-1.43E-02,1.26E-01
55,9.56E-04,0.00E+00,-1.43E-02,1.26E-01
56,3.74E-04,-7.28E-12,-1.40E-02,1.50E-01
57,3.65E-04,0.00E+00,-1.39E-02,1.53E-01
58,4.97E-04,0.00E+00,-1.40E-02,1.52E-01
59,3.48E-04,0.00E+00,-1.46E-02,1.32E-01
60,1.24E-03,-4.55E-13,-1.45E-02,1.54E-02
61,3.31E-04,0.00E+00,-1.46E-02,1.31E-01
62,9.43E-04,-3.64E-12,-1.46E-02,1.31E-01
63,1.02E-03,0.00E+00,-1.48E-02,1.23E-01
64,9.24E-04,-7.28E-12,-1.49E-02,1.28E-01
65,1.13E-03,7.28E-12,-1.49E-02,7.09E-02
66,9.61E-04,0.00E+00,-1.39E-02,1.20E-01
67,1.26E-03,0.00E+00,-1.42E-02,0.00E+00
68,1.27E-03,0.00E+00,-1.46E-02,7.12E-03
69,1.28E-03,-5.46E-12,-1.30E-02,0.00E+00
70,1.28E-03,0.00E+00,-1.29E-02,0.00E+00
71,4.10E-04,-7.28E-12,-1.35E-02,1.67E-01
72,1.28E-03,-4.55E-12,-1.46E-02,0.00E+00
73,1.27E-03,-7.28E-12,-1.49E-02,0.00E+00
74,5.99E-04,5.46E-12,-1.49E-02,1.28E-01
75,3.79E-04,0.00E+00,-1.31E-02,1.77E-01
76,5.33E-04,7.28E-12,-1.30E-02,1.71E-01
77,3.71E-04,0.00E+00,-1.30E-02,1.79E-01
78,4.54E-04,-3.64E-12,-1.35E-02,1.67E-01
79,3.95E-04,-3.64E-12,-1.35E-02,1.69E-01
80,7.10E-04,0.00E+00,-1.38E-02,1.56E-01
81,7.12E-04,0.00E+00,-1.38E-02,1.56E-01
82,7.89E-04,7.28E-12,-1.40E-02,1.41E-01
83,6.68E-04,7.28E-12,-1.41E-02,1.51E-01
84,7.13E-04,0.00E+00,-1.38E-02,1.56E-01
85,7.10E-04,-2.05E-12,-1.38E-02,1.56E-01
86,8.43E-04,-1.82E-12,-1.34E-02,1.41E-01
87,1.16E-03,0.00E+00,-1.32E-02,4.43E-02
88,8.39E-04,9.09E-13,-1.34E-02,1.42E-01
89,4.89E-04,3.64E-12,-1.34E-02,1.66E-01
90,6.70E-04,0.00E+00,-1.32E-02,1.62E-01
91,7.84E-04,-1.82E-12,-1.34E-02,1.45E-01
92,7.12E-04,0.00E+00,-1.31E-02,1.56E-01
93,7.52E-04,0.00E+00,-1.28E-02,1.50E-01
94,7.04E-04,0.00E+00,-1.28E-02,1.53E-01
95,1.26E-03,-5.46E-12,-1.29E-02,6.79E-03
96,8.80E-04,-3.64E-12,-1.18E-02,1.21E-01
97,6.77E-04,0.00E+00,-1.20E-02,1.62E-01
98,5.92E-04,0.00E+00,-1.17E-02,1.71E-01
99,7.73E-04,-1.82E-12,-1.23E-02,1.51E-01
100,6.87E-04,0.00E+00,-1.21E-02,1.61E-01
101,8.01E-04,7.28E-12,-1.20E-02,1.44E-01
102,8.10E-04,3.64E-12,-1.24E-02,1.42E-01
103,8.18E-04,0.00E+00,-1.24E-02,1.41E-01
104,7.79E-04,-9.09E-12,-1.24E-02,1.49E-01
105,1.17E-03,3.64E-12,-1.23E-02,3.61E-02
106,1.19E-03,0.00E+00,-1.24E-02,2.86E-02
107,1.28E-03,0.00E+00,-1.23E-02,0.00E+00
108,7.72E-04,0.00E+00,-1.24E-02,1.49E-01
109,1.13E-03,0.00E+00,-1.25E-02,4.67E-02
110,1.05E-03,-1.09E-11,-1.26E-02,7.64E-02
111,1.22E-03,-3.64E-12,-1.27E-02,2.04E-02
112,1.28E-03,7.28E-12,-1.26E-02,0.00E+00
113,1.28E-03,3.64E-12,-1.14E-02,0.00E+00
114,1.28E-03,0.00E+00,-1.13E-02,0.00E+00
115,1.20E-03,3.64E-12,-1.13E-02,2.20E-02
116,1.03E-03,0.00E+00,-1.23E-02,8.47E-02
117,1.05E-03,0.00E+00,-1.25E-02,7.30E-02
118,1.28E-03,0.00E+00,-1.24E-02,0.00E+00
119,1.08E-03,0.00E+00,-1.22E-02,6.48E-02
120,9.99E-04,0.00E+00,-1.13E-02,7.88E-02
121,1.00E-03,0.00E+00,-1.12E-02,7.56E-02
122,9.41E-04,0.00E+00,-1.18E-02,1.10E-01
