Node Number, X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ]
0,5.67E-04,0.00E+00,-1.44E-02,4.64E-01
1,5.39E-04,0.00E+00,-1.43E-02,4.63E-01
2,5.97E-04,0.00E+00,-1.43E-02,4.30E-01
3,3.21E-04,2.16E-12,-1.46E-02,4.84E-01
4,5.63E-04,0.00E+00,-1.46E-02,4.71E-01
5,3.19E-04,-5.00E-12,-1.46E-02,4.85E-01
6,6.64E-04,0.00E+00,-1.44E-02,2.75E-01
7,6.97E-04,0.00E+00,-1.46E-02,2.12E-01
8,6.79E-04,0.00E+00,-1.38E-02,2.08E-01
9,5.14E-04,0.00E+00,-1.40E-02,4.74E-01
10,6.75E-04,-7.28E-12,-1.41E-02,2.31E-01
11,8.16E-04,0.00E+00,-1.39E-02,0.00E+00
12,5.52E-04,0.00E+00,-1.42E-02,4.62E-01
13,5.81E-04,0.00E+00,-1.31E-02,4.26E-01
14,5.25E-04,0.00E+00,-1.29E-02,4.56E-01
15,4.23E-04,0.00E+00,-1.31E-02,5.11E-01
16,5.12E-04,0.00E+00,-1.36E-02,4.63E-01
17,5.03E-04,0.00E+00,-1.38E-02,4.69E-01
18,2.79E-04,-3.64E-12,-1.37E-02,5.30E-01
19,7.28E-04,-7.28E-12,-1.42E-02,2.08E-01
20,8.06E-04,0.00E+00,-1.42E-02,0.00E+00
21,5.47E-04,0.00E+00,-1.48E-02,4.72E-01
22,7.88E-04,-1.82E-12,-1.48E-02,7.39E-02
23,3.60E-04,0.00E+00,-1.32E-02,5.35E-01
24,2.04E-04,7.28E-12,-1.32E-02,5.88E-01
25,2.61E-04,0.00E+00,-1.33E-02,5.77E-01
26,3.18E-04,0.00E+00,-1.46E-02,4.85E-01
27,3.17E-04,0.00E+00,-1.46E-02,4.85E-01
28,3.16E-04,-5.12E-12,-1.46E-02,4.85E-01
29,3.17E-04,0.00E+00,-1.46E-02,4.85E-01
30,5.03E-04,0.00E+00,-1.34E-02,4.57E-01
31,3.84E-04,1.46E-11,-1.35E-02,5.11E-01
32,5.78E-04,7.28E-12,-1.32E-02,4.22E-01
33,2.50E-04,-3.64E-12,-1.29E-02,6.06E-01
34,5.37E-04,0.00E+00,-1.49E-02,4.72E-01
35,5.69E-04,0.00E+00,-1.49E-02,4.17E-01
36,6.46E-04,-3.64E-12,-1.32E-02,3.24E-01
37,6.40E-04,-3.64E-12,-1.32E-02,3.33E-01
38,8.25E-04,0.00E+00,-1.48E-02,0.00E+00
39,7.33E-04,-3.64E-12,-1.30E-02,1.44E-01
40,8.20E-04,7.28E-12,-1.30E-02,0.00E+00
41,8.20E-04,0.00E+00,-1.30E-02,0.00E+00
42,8.22E-04,3.64E-12,-1.34E-02,0.00E+00
43,8.23E-04,0.00E+00,-1.33E-02,0.00E+00
44,6.70E-04,0.00E+00,-1.36E-02,2.27E-01
45,6.16E-04,7.28E-12,-1.35E-02,2.98E-01
46,4.31E-04,0.00E+00,-1.44E-02,4.72E-01
47,8.17E-04,-7.28E-12,-1.45E-02,0.00E+00
48,3.24E-04,0.00E+00,-1.46E-02,4.84E-01
49,8.27E-04,-1.82E-12,-1.44E-02,0.00E+00
50,8.03E-04,0.00E+00,-1.43E-02,4.21E-02
51,4.92E-04,0.00E+00,-1.49E-02,4.72E-01
52,8.25E-04,-3.64E-12,-1.35E-02,0.00E+00
53,8.13E-04,-7.28E-12,-1.37E-02,0.00E+00
54,1.69E-04,-7.28E-12,-1.35E-02,5.72E-01
55,1.98E-04,0.00E+00,-1.37E-02,5.61E-01
56,8.23E-04,-1.82E-12,-1.49E-02,0.00E+00
57,2.59E-04,0.00E+00,-1.49E-02,4.72E-01
58,8.27E-04,-1.82E-12,-1.43E-02,0.00E+00
59,3.58E-04,7.28E-12,-1.40E-02,5.04E-01
60,1.15E-04,-7.28E-12,-1.40E-02,5.40E-01
61,1.86E-04,0.00E+00,-1.38E-02,5.52E-01
62,2.58E-04,-1.46E-11,-1.42E-02,5.21E-01
63,2.55E-04,0.00E+00,-1.43E-02,5.06E-01
64,3.46E-04,0.00E+00,-1.43E-02,5.03E-01
65,2.77E-04,0.00E+00,-1.28E-02,5.91E-01
66,2.20E-04,7.28E-12,-1.28E-02,6.12E-01
67,3.93E-04,7.28E-12,-1.42E-02,4.95E-01
68,3.36E-04,0.00E+00,-1.24E-02,5.90E-01
69,3.03E-04,-7.28E-12,-1.24E-02,6.01E-01
70,2.41E-04,0.00E+00,-1.23E-02,6.23E-01
71,5.77E-04,0.00E+00,-1.26E-02,4.34E-01
72,5.77E-04,-9.55E-12,-1.26E-02,4.34E-01
73,5.78E-04,-9.44E-12,-1.26E-02,4.32E-01
74,2.15E-04,0.00E+00,-1.13E-02,6.71E-01
75,3.28E-04,0.00E+00,-1.13E-02,6.16E-01
76,1.88E-04,0.00E+00,-1.14E-02,6.72E-01
77,5.47E-04,-7.28E-12,-1.18E-02,4.68E-01
78,6.04E-04,0.00E+00,-1.18E-02,3.79E-01
79,5.63E-04,-7.28E-12,-1.18E-02,4.43E-01
80,8.19E-04,0.00E+00,-1.26E-02,0.00E+00
81,8.17E-04,0.00E+00,-1.27E-02,0.00E+00
82,5.79E-04,5.00E-12,-1.26E-02,4.30E-01
83,5.80E-04,5.00E-12,-1.26E-02,4.29E-01
84,5.48E-04,0.00E+00,-1.11E-02,4.22E-01
85,5.41E-04,0.00E+00,-1.12E-02,4.46E-01
86,6.50E-04,0.00E+00,-1.12E-02,2.80E-01
87,6.13E-04,9.09E-13,-1.22E-02,3.83E-01
88,8.17E-04,0.00E+00,-1.24E-02,0.00E+00
89,4.77E-04,0.00E+00,-1.15E-02,4.94E-01
90,5.47E-04,-5.46E-12,-1.18E-02,4.68E-01
91,6.90E-04,3.64E-12,-1.16E-02,1.99E-01
92,6.15E-04,-7.28E-12,-1.14E-02,2.98E-01
93,8.12E-04,7.28E-12,-1.13E-02,0.00E+00
94,8.21E-04,3.64E-12,-1.16E-02,0.00E+00
95,8.10E-04,7.28E-12,-1.17E-02,0.00E+00
96,8.14E-04,7.28E-12,-1.21E-02,0.00E+00
97,8.18E-04,0.00E+00,-1.22E-02,0.00E+00
98,6.14E-04,9.09E-13,-1.22E-02,3.82E-01
99,4.44E-04,0.00E+00,-1.19E-02,5.40E-01
100,4.98E-04,5.46E-12,-1.18E-02,5.00E-01
101,5.77E-04,5.00E-12,-1.26E-02,4.34E-01
102,7.03E-04,0.00E+00,-1.28E-02,1.88E-01
103,5.50E-04,7.28E-12,-1.18E-02,4.66E-01
104,5.84E-04,7.28E-12,-1.18E-02,4.12E-01
105,5.99E-04,0.00E+00,-1.22E-02,4.05E-01
106,3.13E-04,1.82E-12,-1.20E-02,6.21E-01
107,6.00E-04,0.00E+00,-1.22E-02,4.05E-01
108,3.27E-04,3.64E-12,-1.20E-02,6.15E-01
109,6.07E-04,9.09E-13,-1.22E-02,3.93E-01
110,2.43E-04,0.00E+00,-1.17E-02,6.35E-01
111,3.30E-04,-7.28E-12,-1.15E-02,5.97E-01
112,3.32E-04,0.00E+00,-1.25E-02,5.95E-01
113,2.87E-04,0.00E+00,-1.12E-02,6.29E-01
114,3.05E-04,3.64E-12,-1.20E-02,6.27E-01
115,8.20E-04,-3.64E-12,-1.18E-02,0.00E+00
116,5.90E-04,4.55E-13,-1.21E-02,4.20E-01
117,1.45E-04,7.28E-12,-1.16E-02,6.70E-01
118,2.66E-04,0.00E+00,-1.20E-02,6.36E-01
119,5.65E-04,0.00E+00,-1.26E-02,4.40E-01
120,2.66E-04,3.64E-12,-1.26E-02,6.13E-01
121,2.52E-04,1.09E-11,-1.27E-02,5.99E-01
122,5.29E-04,0.00E+00,-9.31E-03,4.31E-01
123,5.24E-04,0.00E+00,-9.47E-03,4.41E-01
124,4.05E-04,7.28E-12,-9.35E-03,5.14E-01
125,5.12E-04,7.28E-12,-1.08E-02,4.48E-01
126,5.20E-04,0.00E+00,-1.06E-02,4.46E-01
127,6.33E-04,0.00E+00,-1.05E-02,2.80E-01
128,6.76E-04,7.28E-12,-1.07E-02,2.10E-01
129,6.09E-04,0.00E+00,-1.11E-02,3.38E-01
130,2.30E-04,3.64E-12,-9.96E-03,6.71E-01
131,3.16E-04,-3.64E-12,-9.99E-03,6.20E-01
132,1.40E-04,-7.28E-12,-1.00E-02,7.05E-01
133,2.18E-04,0.00E+00,-1.12E-02,6.76E-01
134,2.45E-04,1.46E-11,-1.04E-02,6.61E-01
135,3.75E-04,0.00E+00,-1.04E-02,5.73E-01
136,3.38E-04,0.00E+00,-1.03E-02,6.03E-01
137,5.82E-04,0.00E+00,-1.04E-02,3.45E-01
138,5.06E-04,0.00E+00,-1.05E-02,4.44E-01
