Node Number, X [ m ], Y [ m ], Z [ m ], Wall Shear [ Pa ]
0,-2.66E-03,1.83E-03,1.42E-03,1.02E+01
1,-2.62E-03,1.76E-03,1.58E-03,1.05E+01
2,-2.53E-03,1.91E-03,1.54E-03,1.33E+01
3,2.00E-03,-9.78E-04,2.72E-03,1.42E+01
4,2.06E-03,-1.15E-03,2.61E-03,1.21E+01
5,2.16E-03,-9.77E-04,2.60E-03,1.25E+01
6,2.13E-03,-1.30E-03,2.47E-03,1.08E+01
7,2.22E-03,-1.13E-03,2.49E-03,1.14E+01
8,-2.24E-03,2.73E-03,-1.76E-04,6.28E+00
9,-2.31E-03,2.65E-03,-3.25E-04,4.45E+00
10,-2.39E-03,2.60E-03,-1.70E-04,5.18E+00
11,3.35E-03,1.11E-03,5.41E-05,9.32E-01
12,3.28E-03,1.27E-03,1.79E-04,7.98E-01
13,3.34E-03,1.09E-03,2.60E-04,1.87E+00
14,1.91E-03,-3.79E-04,2.94E-03,1.78E+01
15,1.93E-03,-5.85E-04,2.88E-03,1.57E+01
16,2.04E-03,-4.47E-04,2.83E-03,1.69E+01
17,2.30E-03,-1.55E-03,2.16E-03,8.26E+00
18,2.38E-03,-1.64E-03,1.99E-03,6.92E+00
19,2.43E-03,-1.48E-03,2.06E-03,6.80E+00
20,3.48E-03,5.26E-04,-1.81E-04,1.94E+00
21,3.45E-03,7.30E-04,-1.24E-04,1.67E+00
22,3.48E-03,5.82E-04,-1.88E-06,3.10E+00
23,-3.01E-03,1.68E-03,7.41E-04,5.66E+00
24,-3.07E-03,1.51E-03,8.59E-04,5.57E+00
25,-2.96E-03,1.68E-03,9.33E-04,6.76E+00
26,-9.73E-04,3.26E-03,9.62E-04,1.09E+01
27,-8.41E-04,3.33E-03,8.39E-04,8.52E+00
28,-1.01E-03,3.30E-03,7.71E-04,9.68E+00
29,-2.96E-03,1.91E-03,2.11E-04,4.73E+00
30,-3.08E-03,1.71E-03,1.71E-04,3.60E+00
31,-3.01E-03,1.80E-03,3.67E-04,4.69E+00
32,3.20E-03,-1.41E-03,3.58E-04,1.12E+00
33,3.28E-03,-1.26E-03,2.23E-04,1.35E+00
34,3.27E-03,-1.23E-03,4.12E-04,2.28E+00
35,-1.01E-03,3.12E-03,1.33E-03,1.18E+01
36,-8.38E-04,3.18E-03,1.29E-03,1.03E+01
37,-9.72E-04,3.20E-03,1.15E-03,1.17E+01
38,-9.06E-04,3.36E-03,6.24E-04,6.84E+00
39,-1.09E-03,3.31E-03,5.86E-04,7.90E+00
40,2.23E-03,1.50E-03,2.29E-03,8.52E+00
41,2.15E-03,1.37E-03,2.44E-03,9.63E+00
42,2.29E-03,1.33E-03,2.33E-03,8.41E+00
43,-1.31E-03,2.80E-03,1.72E-03,1.27E+01
44,-1.10E-03,2.83E-03,1.81E-03,1.21E+01
45,-1.18E-03,2.91E-03,1.62E-03,1.30E+01
46,-2.47E-03,1.85E-03,1.71E-03,1.13E+01
47,-2.39E-03,2.01E-03,1.65E-03,1.15E+01
48,-1.00E-03,3.36E-03,4.22E-04,6.44E+00
49,-1.19E-03,3.30E-03,4.16E-04,6.80E+00
50,2.47E-03,-1.72E-03,1.81E-03,5.47E+00
51,2.52E-03,-1.55E-03,1.90E-03,5.42E+00
52,-1.45E-03,2.68E-03,1.79E-03,1.66E+01
53,-1.25E-03,2.70E-03,1.91E-03,1.27E+01
54,-2.78E-03,1.76E-03,1.28E-03,8.48E+00
55,-2.75E-03,1.67E-03,1.45E-03,8.53E+00
56,2.31E-03,1.61E-03,2.12E-03,7.66E+00
57,2.37E-03,1.44E-03,2.18E-03,7.44E+00
58,-1.45E-03,3.22E-03,1.33E-04,8.81E+00
